epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1096.07,1.18749,4.98458,1.26078,0,0,0,0,0.98552,5.02304,1.05442,8.34e-06,8.34e-06,8.34e-06
2,1819.04,1.06803,4.93581,1.15207,0,0,0,0,0.97309,5.01831,1.04914,1.62811e-05,1.62811e-05,1.62811e-05
3,444.273,1.17014,4.92114,1.1878,0,0,0,0,0.96313,5.00736,1.04455,2.22956e-05,2.22956e-05,2.22956e-05
4,954.99,1.13925,4.86874,1.17777,0,0,0,0,0.95543,4.99959,1.04043,2.63836e-05,2.63836e-05,2.63836e-05
5,1470.59,1.09802,4.81731,1.1582,0,0,0,0,0.94577,4.97841,1.03587,2.8545e-05,2.8545e-05,2.8545e-05
6,1960.65,1.09174,4.69923,1.14738,0,0,0,0,0.93906,4.9606,1.02922,2.87799e-05,2.87799e-05,2.87799e-05
7,2427.1,1.10199,4.75112,1.16482,0,0,0,0,0.93464,4.93015,1.02537,2.70883e-05,2.70883e-05,2.70883e-05
8,2901.67,1.13135,4.63858,1.17691,0,0,0,0,0.93898,4.91116,1.0261,2.34702e-05,2.34702e-05,2.34702e-05
9,3418.11,1.0762,4.56899,1.12511,0,0,0,0,0.94261,4.87182,1.0238,1.79254e-05,1.79254e-05,1.79254e-05
10,3830.9,1.05371,4.51991,1.10893,0.01667,0.00028,0.00025,0.00021,0.94746,4.84636,1.02748,1.04542e-05,1.04542e-05,1.04542e-05
